id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_pms_amenity_user,access_pms_amenity_user,model_pms_amenity,pms_base.group_pms_user,1,0,0,0
access_pms_amenity_type_user,access_pms_amenity_type_user,model_pms_amenity_type,pms_base.group_pms_user,1,0,0,0
access_pms_room_user,access_pms_room_user,model_pms_room,pms_base.group_pms_user,1,0,0,0
access_pms_tag_user,access_pms_tag_user,model_pms_tag,pms_base.group_pms_user,1,0,0,0
access_pms_room_type_user,access_pms_room_type_user,model_pms_room_type,pms_base.group_pms_user,1,0,0,0
access_pms_service_user,access_pms_service_user,model_pms_service,pms_base.group_pms_user,1,0,0,0
access_pms_stage_use,access_pms_stage,model_pms_stage,pms_base.group_pms_user,1,0,0,0
access_pms_team_user,access_pms_team,model_pms_team,pms_base.group_pms_user,1,0,0,0
access_pms_property_user,access_property_user,model_pms_property,pms_base.group_pms_user,1,0,0,0
access_pms_amenity_manager,access_pms_amenity_manager,model_pms_amenity,pms_base.group_pms_manager,1,1,1,1
access_pms_amenity_type_manager,access_pms_amenity_type_manager,model_pms_amenity_type,pms_base.group_pms_manager,1,1,1,1
access_pms_room_manager,access_pms_room_manager,model_pms_room,pms_base.group_pms_manager,1,1,1,1
access_pms_room_type_manager,access_pms_room_type_manager,model_pms_room_type,pms_base.group_pms_manager,1,1,1,1
access_pms_service_manager,access_pms_service_manager,model_pms_service,pms_base.group_pms_manager,1,1,1,1
access_pms_tag_manager,access_pms_tag_manager,model_pms_tag,pms_base.group_pms_manager,1,1,1,1
access_pms_stage_manager,access_pms_stage,model_pms_stage,pms_base.group_pms_manager,1,1,1,1
access_pms_team_manager,access_pms_team,model_pms_team,pms_base.group_pms_manager,1,1,1,1
access_pms_property_manager,access_property_manager,model_pms_property,pms_base.group_pms_manager,1,1,1,1
access_pms_stage_group_user,access_pms_stage_group_user,model_pms_stage,base.group_user,1,0,0,0
